Designator,Mid X,Mid Y,Rotation,Layer
D1,66.85,-28.65,0.0,top
D10,174.2875,-28.65,0.0,top
D11,186.225,-28.65,0.0,top
D12,198.1625,-28.65,0.0,top
D13,188.6125,-33.425,0.0,top
D14,69.2375,-33.425,0.0,top
D15,81.175,-33.425,0.0,top
D16,93.1125,-33.425,0.0,top
D17,105.05,-33.425,0.0,top
D18,116.9875,-33.425,0.0,top
D19,128.925,-33.425,0.0,top
D2,78.7875,-28.65,0.0,top
D20,140.8625,-33.425,0.0,top
D21,152.8,-33.425,0.0,top
D22,164.7375,-33.425,0.0,top
D23,176.675,-33.425,0.0,top
D24,200.55,-33.425,0.0,top
D25,71.625,-38.2,0.0,top
D26,83.5625,-38.2,0.0,top
D27,95.5,-38.2,0.0,top
D28,107.4375,-38.2,0.0,top
D29,119.375,-38.2,0.0,top
D3,90.725,-28.65,0.0,top
D30,131.3125,-38.2,0.0,top
D31,143.25,-38.2,0.0,top
D32,155.1875,-38.2,0.0,top
D33,167.125,-38.2,0.0,top
D34,179.0625,-38.2,0.0,top
D35,191.0,-38.2,0.0,top
D36,202.9375,-38.2,0.0,top
D37,157.575,-42.975,0.0,top
D38,74.0125,-42.975,0.0,top
D39,85.95,-42.975,0.0,top
D4,102.6625,-28.65,0.0,top
D40,97.8875,-42.975,0.0,top
D41,121.7625,-42.975,0.0,top
D42,133.7,-42.975,0.0,top
D43,145.6375,-42.975,0.0,top
D44,193.3875,-42.975,0.0,top
D45,205.325,-42.975,0.0,top
D46,181.45,-42.975,0.0,top
D47,169.5125,-42.975,0.0,top
D48,110.0,-43.0,0.0,top
D5,114.6,-28.65,0.0,top
D6,126.5375,-28.65,0.0,top
D7,138.475,-28.65,0.0,top
D8,150.4125,-28.65,0.0,top
D9,162.35,-28.65,0.0,top
J1,212.5125,-36.7875,180.0,top
SW1,42.5,-58.0,0.0,top
SW10_4,80.493,-76.993,180.0,top
SW10_3,137.493,-76.993,180.0,top
SW10_2,213.5,-58.0,0.0,top
SW10,194.493,-76.993,180.0,top
SW11_5,232.493,-76.993,180.0,top
SW11_4,156.493,-76.993,180.0,top
SW11_3,99.493,-76.993,180.0,top
SW11_2,213.493,-76.993,180.0,top
SW11,232.5,-58.0,0.0,top
SW12_6,251.493,-76.993,180.0,top
SW12_5,232.493,-76.993,180.0,top
SW12_4,251.5,-77.0,0.0,top
SW12_3,118.493,-76.993,180.0,top
SW12_2,175.493,-76.993,180.0,top
SW12,175.493,-76.993,180.0,top
SW13,251.5,-96.0,0.0,top
SW14_3,99.493,-95.993,180.0,top
SW14_2,42.493,-95.993,180.0,top
SW14,42.5,-77.0,0.0,top
SW15_3,118.493,-95.993,180.0,top
